login-login,name-name,first-first,last-last,prefix-prefix,domain-domain,login-name,name-login,first-last,last-first,login-prefix,prefix-login,domref-name,name-domref,domref-login,login-domref,first-freq-score,last-freq-score,prefix-freq-score,domain-freq-score,label
,0.14,0.0,0.17,0.27,0.18,0.29,,0.6,0.25,0.5,,,0.17,,0.0,1.0,0.6425486044692343,1.1832946624549383,0.3598579245212535,0.0
,1.0,1.0,1.0,,,0.47,,0.1,0.1,1.0,,,,,,1.660964047443681,1.660964047443681,0.7245267751622539,0.24151075752022924,1.0
,0.29,0.25,0.12,0.44,1.0,0.29,,0.12,0.25,0.44,,,,,,0.9266284080291267,1.0,1.0,0.17992896226062674,0.0
,0.31,0.17,0.33,0.5,0.15,0.25,,0.11,0.33,0.5,,,0.18,,0.2,0.5827494472602965,1.0,3.321928094887362,0.3598579245212535,0.0
,0.36,0.12,0.12,0.4,0.33,0.4,,0.12,0.12,0.4,,,0.18,,0.1,1.660964047443681,1.0,1.0,0.3598579245212535,0.0
,0.36,0.5,0.17,0.4,0.56,0.36,,0.0,0.25,0.4,,,,,,1.2850972089384687,1.660964047443681,1.0,0.2875344216233421,0.0
,0.33,0.5,0.0,0.27,1.0,0.38,,0.0,0.6,0.3,,,,,,0.3696846793184503,1.0479516371446924,1.0,0.17992896226062674,0.0
,0.33,0.0,0.67,0.57,1.0,0.42,,0.67,0.0,0.25,,,,,,2.095903274289385,1.0,1.0,0.17992896226062674,0.0
,0.36,0.62,0.14,0.4,0.56,0.5,,0.14,0.62,0.4,,,,,,1.0,1.660964047443681,1.0,0.2875344216233421,0.0
,0.83,0.83,0.83,0.5,1.0,0.36,,0.83,0.83,0.5,,,,,,0.588591910067779,1.0,1.0,0.17992896226062674,0.0
,0.75,1.0,0.4,0.45,1.0,0.18,,0.5,0.33,0.14,,,,,,0.44885585875131156,1.0,1.0,0.17992896226062674,0.0
,0.43,0.83,0.0,0.38,0.18,0.5,,0.29,0.0,0.5,,,0.18,,0.3,0.6241963505817848,1.0,1.0,0.3598579245212535,0.0
,0.44,1.0,0.1,0.33,1.0,0.44,,0.0,0.0,0.4,,,,,,0.31425499492094006,1.0,1.0,0.17992896226062674,0.0
,0.43,0.5,0.2,0.33,0.56,0.36,,0.17,0.12,0.33,,,,,,1.0,1.660964047443681,1.0,0.2875344216233421,0.0
,0.8,0.5,1.0,0.15,0.46,0.7,,0.0,0.2,0.54,,0.7,,,,1.0,0.46331420401456336,1.0,0.3598579245212535,0.0
,0.39,1.0,0.2,0.36,1.0,0.67,,0.5,0.3,0.33,,,,,,0.44885585875131156,1.0,1.0,0.17992896226062674,0.0
,1.0,1.0,1.0,,,0.5,,0.0,0.0,1.0,,,,,,1.660964047443681,1.660964047443681,0.7245267751622539,0.24151075752022924,1.0
,1.0,1.0,1.0,,,0.5,,0.0,0.0,1.0,,,0.15,,0.15,1.660964047443681,0.7153382790366964,0.7245267751622539,0.3156657516493615,1.0
,0.25,0.6,0.33,0.18,1.0,0.5,,0.6,0.33,0.29,,,,,,1.0,1.0,1.0,0.17992896226062674,0.0
,0.42,0.43,0.4,0.36,1.0,0.33,,0.17,0.43,0.36,,,,,,0.6285099898418801,1.0,1.0,0.17992896226062674,0.0
,0.45,0.67,0.0,0.38,0.46,0.5,,0.17,0.0,0.5,,,0.36,,0.4,1.1073093649624541,1.0,1.0,0.3598579245212535,0.0
,0.47,0.17,0.6,0.29,1.0,0.44,,0.11,0.2,0.35,,,,,,3.321928094887362,1.660964047443681,1.0,0.17992896226062674,0.0
,0.38,0.17,0.5,0.4,1.0,0.38,,0.1,0.33,0.4,,,,,,0.7067270923753284,1.0,1.0,0.17992896226062674,0.0
,0.42,0.6,0.0,0.36,1.0,0.33,,0.2,0.5,0.36,,,,,,0.5947986391060673,1.660964047443681,1.0,0.17992896226062674,0.0
,0.53,1.0,0.0,0.29,0.11,0.47,,0.14,0.29,0.5,,,,,,0.5,1.0,1.0,0.3598579245212535,0.0
,0.44,1.0,0.0,0.27,1.0,0.4,,0.17,0.22,0.27,,,,,,0.44885585875131156,1.660964047443681,1.0,0.17992896226062674,0.0
,0.25,0.25,0.25,0.57,0.27,0.57,,0.25,0.25,0.57,,,0.25,,0.38,2.095903274289385,1.0,1.0,0.3598579245212535,0.0
,0.32,0.1,0.5,0.42,0.36,0.37,,0.12,0.3,0.42,,0.0,,,,2.095903274289385,1.0,1.0,0.2591979154996086,0.0
,0.11,0.12,0.0,0.53,1.0,0.28,,0.33,0.75,0.18,,,,,,1.0479516371446924,1.0,1.0,0.17992896226062674,0.0
,0.33,1.0,0.14,0.27,0.21,0.36,,1.0,0.14,0.36,,,0.2,,0.15,0.3724609298866735,1.0,1.0,0.2180999182845727,0.0
,0.38,0.5,0.3,0.33,1.0,0.38,,0.1,0.22,0.33,,,,,,0.3696846793184503,1.0,1.0,0.17992896226062674,0.0
